,WDPAID,1996_ext,gain_2007,loss_2007,gain_2008,loss_2008,gain_2009,loss_2009,gain_2010,loss_2010,gain_2015,loss_2015,gain_2016,loss_2016,gain_2017,loss_2017,gain_2018,loss_2018,gain_2019,loss_2019,gain_2020,loss_2020,2007_ext,2008_ext,2009_ext,2010_ext,2015_ext,2016_ext,2017_ext,2018_ext,2019_ext,2020_ext
855,902406,39.15709757049707,0.04566178547559156,12.899047515501914,0.13705836212349498,14.805011129571877,0.18275194307288362,15.070933868096374,0.04569832033216811,15.780256355060178,0.0,16.4006055991115,0.0,16.976704576430635,0.0,16.976698962583356,0.22830544944090037,15.868839469928332,0.2739820293754597,15.780294326878334,0.2283210167682973,15.602961712685325,26.30371184047075,24.48914480304869,24.26891564547358,23.42253953576906,22.75649197138557,22.180392994066437,22.180398607913716,23.51656355000964,23.6507852729942,23.782456874580046
856,902864,4826.561143735068,17.736563315976063,117.49719049004797,24.28500535237322,156.67743928771813,24.421242669222856,167.40062429386404,21.647617445798442,165.94250829827706,19.146828195523064,168.46041831480233,19.19222470973128,165.1547570160085,20.46641154484326,149.84005235882455,26.015073574569556,143.17540257209166,31.381230696652572,152.97191253057878,33.47277435440731,176.22899301265917,4726.800516560997,4694.168709799724,4683.581762110427,4682.2662528825895,4677.247553615789,4680.598611428791,4697.187502921087,4709.400814737545,4704.970461901142,4683.804925076816
857,902302,36.251062882308744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744,36.251062882308744
858,902305,70715.45806822572,76.81302559582804,1764.5135292591692,158.7298574482723,3195.5059232197113,178.48420347937812,3252.184263015988,195.77529414213103,3504.097416079642,223.29304047157558,3945.8891436230556,252.1208978154234,4234.577887420026,301.6891048251247,3898.7336119824718,407.80503481407544,3335.11496180261,458.79702957139466,3333.394863358304,449.7932233572933,3839.4659325787484,69027.75756456237,67678.68200245428,67641.75800868911,67407.13594628821,66992.86196507423,66733.0010786211,67118.41356106837,67788.1481412372,67840.8602344388,67325.78535900427
859,109075,133.40544920686864,11.76539357817433,8.527976286482389,20.051321216354157,15.767729142544383,20.646508399927455,16.478041227037835,24.2172367584313,15.63422816520301,26.780780216155073,16.07892908449957,27.467520000196636,16.567654562894194,28.886624695232676,15.634816478778967,30.763544638604387,15.72360354121241,32.09115183979681,15.279351727669498,32.36583575458812,14.879539669443433,136.64286649856058,137.68904128067842,137.57391637975826,141.98845780009694,144.10730033852414,144.3053146441711,146.65725742332233,148.44539030426063,150.21724931899595,150.89174529201333
860,478008,480.4905903363428,0.7332179570011508,4.668482175283273,1.7872455241237453,11.382290678670154,1.5122833970404026,11.693566404376924,1.4664590903169201,13.338585765917912,0.6415888140955067,16.539926554036057,0.41245919853591023,18.807385723012494,0.5957628125767263,18.496062970598167,1.1915227566381534,17.87356755168382,1.2831716208066168,16.717567485070994,1.8331103441751577,14.85020168767709,476.5553261180607,470.8955451817964,470.3093073290063,468.6184636607418,464.5922525964022,462.0956638118662,462.5902901783213,463.8085455412971,465.0561944720784,467.47349899284086
861,478014,78.4824388717257,0.27486992808135036,4.1337809037591935,0.32068645883447755,5.6450175007783905,0.22906369300646473,6.311730939737091,0.13743621866197386,6.7117592143948865,0.09162640611905386,8.000759936152345,0.04580987536592673,8.267450160076741,0.18324245373753872,7.200705033484815,0.18324245373753872,7.2895839081536,0.22905377384517742,7.1562507332872975,0.22905377384517742,7.156269921512263,74.62352789604786,73.15810782978178,72.39977162499508,71.90811587599279,70.5733053416924,70.2607985870149,71.46497629197843,71.37609741730964,71.55524191228359,71.55522272405862
862,903096,30.714591149239368,0.8713334841432309,5.8284033653777065,1.5133756099678846,6.896200781850182,1.3757974187433892,6.851707568828511,1.1923567581066195,7.519082200330715,0.9171927776244634,8.364422614062388,0.9171927776244634,8.720357805198603,0.9171929644710057,8.898327274250747,1.0089113641498648,8.497904912428929,1.008911239609294,8.408919996666427,1.1006295769957761,8.230954153118402,25.757521268004893,25.33176597735707,25.238680999154248,24.387865707015273,23.267361312801444,22.91142612166523,22.733456839459627,23.225597600960302,23.314582392182235,23.58426657311674
863,902287,364.0906985648727,1.560368032228208,3.4733010753213613,2.753559656714054,7.0357334853315034,3.074945436077789,7.34734023552227,3.4880140406449076,6.545638167378338,3.212652681591265,6.1445131844125225,1.698185360540733,7.569353744734605,2.0195098920887946,8.994346717129037,2.294874542687726,8.949764296397813,3.3504217797232876,8.326232227498737,3.855375242684097,10.062846681297842,362.1777655217795,359.80852473625526,359.8183037654282,361.03307443813924,361.1588380620514,358.2195301806788,357.1158617398325,357.43580881116264,359.1148881170972,357.88322712625893
864,478009,653.8193571652566,8.763066447118975,22.523536537364368,15.598938196334073,29.20026307001135,14.956659651972663,30.757939687373003,14.543725537667482,32.09320215801098,10.18534438598149,40.4608744880217,9.3594986240987,42.730881537906605,10.047724558086108,38.85844231510212,11.28644175074553,38.6803190388058,11.79110754885163,35.69819421628121,12.52517400906314,33.16122016568137,640.0588870750112,640.2180322915793,638.0180771298564,636.2698805449131,623.5438270632164,620.4479742514487,625.0086394082406,626.4254798771964,629.9122704978271,633.1833110086384
865,902285,92.90632160848996,0.6892947919113297,0.1337509688558709,0.8731036616087862,0.4904149109100558,0.9190554348732951,0.7133300229336239,1.0109585530098033,0.7579127481138159,1.05691118395327,0.8470762378767284,1.0109567155756747,0.8470786740092053,1.0109567155756747,0.7579150652791478,1.0109567155756747,0.8916606263986895,0.8731039070942911,0.579574774772609,1.010967250989145,0.22290631728356702,93.46186543154542,93.28901035918868,93.11204702042964,93.15936741338595,93.1161565545665,93.07019965005642,93.15936325878648,93.02561769766695,93.19985074081164,93.69438254219553
866,902299,8.281010934268016,0.0,2.7235897373275924,0.0,6.340219955973604,0.598299106395119,6.206276125160398,0.0,6.340219955973604,0.18408270632573673,6.206275010045195,0.09204307724304468,6.340219779913014,1.2426022087154616,5.759754824879053,0.3221711444728297,6.206252311094327,0.0,6.429516919156281,0.0,6.429516919156281,5.557421196940424,1.9407909782944124,2.6730339155027365,1.9407909782944124,2.258818630548558,2.0328342315980463,3.7638583181044245,2.3969297676465184,1.8514940151117347,1.8514940151117347
867,902307,126117.84974542446,272.3189050309968,2289.623051167463,405.43378417141594,3745.580617986643,410.8281884136654,4132.070834018077,453.1290619551882,4158.229422803557,555.6745099621533,4304.448613055539,608.5941545719667,4322.93566615222,663.0385482830237,4020.9778970744374,768.8119284377444,3889.2981016923222,827.1868806016531,4165.702373827196,786.4682306877435,5127.579507559418,124100.545599288,122777.70291160923,122396.60709982006,122412.74938457609,122369.07564233107,122403.50823384422,122759.91039663304,122997.3635721699,122779.33425219893,121776.73846855278
868,902304,429.06687979952466,18.560811050024228,7.928897040249806,19.945953132021994,13.617952670914482,18.37612789687553,16.39527105281359,15.513546963639241,22.845814594307654,14.497803961358443,31.80487637900119,10.89648389475549,37.673048007841984,15.098079211563572,38.21060055493427,7.664469633856668,39.91292361221633,3.41670506161071,48.065738780800714,2.6779442324133855,53.44106506622361,439.6987938092991,435.3948802606322,431.0477366435866,421.7346121688562,411.7598073818819,402.29031568643813,405.95435845615395,396.81842582116496,384.41784608033464,378.30375896571445
