,WDPAID,agb_tot,agb_avg,hchm_avg
156,555625728,50882.48069260163,5.555025566752976,4.15467361641488
157,555625727,3443.298431612067,14.529576093806266,6.580588033399351
158,555625726,3009.4253672390914,13.284451771931476,6.131781888295369
159,61790,16461.659743591834,23.574774996917768,8.3374044507459
160,555625722,7846.175135046975,5.199601283371902,4.117511606084552
161,555625721,1678.757384603287,4.446169172507348,3.8782235614967218
162,555625720,11885.765770892205,8.313613269575614,5.160786199940227
163,555625719,10.557830430173237,20.227208455403645,7.565204620361328
164,555625716,787.8402101728549,16.292868168233966,6.894796491526871
165,555625715,1539.453112240545,14.20399967395666,6.68806273826244
166,555587040,184339.54916559428,41.98121752874163,10.104715570033592
167,220066,7.450718446027396,30.840545654296875,9.463911056518555
168,28154,50.240173830574115,51.96519978841146,11.64999516805013
169,220060,119.73221745785789,57.13773756760817,12.171927818885216
170,220081,21.077103234310776,52.309747314453126,11.818292236328125
171,94064,20972496.173108548,77.71426380195435,13.263197467999955
172,33810,64825.443345460735,230.10301782111634,22.045663983692
173,41080,28384.569391762452,43.682527584204415,10.50894218205575
174,352552,344.40316328711174,11.713559388431232,5.968599598182307
175,352559,8.855604660423976,14.147779192243304,6.451194763183594
176,555542509,41396.96414482678,46.901667868975096,10.948418045981619
177,352558,2244.57290735602,18.04340683411215,6.827041022645579
178,352529,90.77795713667203,18.65344452439693,7.508445338199013
179,352530,375.2440114412933,9.221288653039831,5.211057267099057
180,352528,16412.790013265658,32.21971453870805,9.04377582644628
181,555542628,2267.32921940745,17.980727781471632,6.816965868794326
182,18043,73635.00390181653,271.63119762569835,19.643932491707403
183,555624849,56409.88224930576,18.668055436857248,7.150551591032105
184,198293,186834.95050301368,24.693990094808814,7.896103128633887
185,198292,12138.410143471621,42.04761468888537,9.982062544529766
186,555625769,201209.9704769893,26.026210679270143,8.143535118518779
187,555625777,107346.87599917922,19.209902477919528,7.259325740615799
188,3849,1661234.6527362978,260.60926503340755,19.09128247958426
189,3852,597368.3721493718,276.02671972711767,19.81091064634626
190,39645,9134.222690649178,226.02974970725995,17.4717803168911
191,198296,10731.186618132233,69.98663839013999,12.427174471241631
192,555558372,86.31219076596388,30.98548787434896,9.172887166341146
193,9712,1.7624112589591578,6.321660995483398,4.800960540771484
194,12777,0.0,0.0,0.0
195,303911,9224.263807783835,33.51744944553164,9.602205260314742
196,12790,23963.063445771702,37.423688498738436,9.893476661059713
197,12782,59.54924963592118,34.91328189247533,9.728943674187912
198,100838,703.894478116347,35.48378508554864,9.837593458356901
199,303909,0.0,0.0,0.0
200,12780,126.88638456146171,23.560361735026042,7.781656901041667
201,555600327,17.715772767566282,39.56395568847656,10.515248107910157
202,11844,34.1063835405602,26.603873116629465,8.79265866960798
203,555624220,90078.57861687272,45.998075500485456,10.5645617573628
204,312977,353.9823086670506,14.255486716686839,4.5462498194734815
205,40977,3724.875035204028,150.37943591101694,11.933478714247881
206,555547757,3273.8797407906604,106.52518897492625,8.703696821994837
207,555547758,21358.059666240726,119.71176442792338,9.935758036951865
208,555547759,9769.986924156954,113.45163847780127,9.232133861323996
209,315523,980.9273958963946,114.16200400904606,9.192021901983964
210,555547754,240451.51711722877,133.35601994835704,10.762147327983394
211,555547755,9467.916316887804,113.00440878378379,9.257514780405405
212,555547769,67885.93346852626,98.86931254956384,7.867829248446999
213,555547756,1902.3470353366256,116.28988259668509,9.710977965296962
214,555547762,1227.3046437701457,118.77684273097826,9.9507080078125
215,315585,3727.0308682715754,95.48196418213458,7.411678871809745
216,555547763,626.3653991671127,122.25945723684211,9.976484332168312
217,555547764,2414.1926438154396,108.29651272681451,8.85111556514617
218,555547765,14997.054678517998,134.05283767290481,11.230827908869
