,WDPAID,0-700,700-1400,1400-2100,2100-2800,2800-3500,3500-
125,2688,0.5223583704646722,0.4776416295353278,0.0,0.0,0.0,0.0
126,2710,0.9329044117647058,0.06709558823529412,0.0,0.0,0.0,0.0
127,2849,0.0,0.20833333333333334,0.7916666666666666,0.0,0.0,0.0
128,2850,0.0,0.4293753517163759,0.5362971299943725,0.03432751828925155,0.0,0.0
129,2851,0.1546742209631728,0.6322946175637394,0.21303116147308782,0.0,0.0,0.0
130,2854,0.0,0.8767772511848341,0.12322274881516587,0.0,0.0,0.0
131,2860,0.009446114212108201,0.9192786603692572,0.07127522541863461,0.0,0.0,0.0
132,2861,0.22019964768056371,0.7798003523194363,0.0,0.0,0.0,0.0
133,3038,0.030089759281925744,0.86640656874745,0.10327417380660955,0.0002294981640146879,0.0,0.0
134,3044,0.008420088577371709,0.989178758328419,0.0024011530942093513,0.0,0.0,0.0
135,3217,0.4270833333333333,0.5729166666666666,0.0,0.0,0.0,0.0
136,3311,0.03155818540433925,0.9417050186280955,0.026517641902257288,0.00021915406530791147,0.0,0.0
137,3317,0.0,0.35294117647058826,0.6470588235294118,0.0,0.0,0.0
138,3406,0.0,0.3263888888888889,0.6689814814814815,0.004629629629629629,0.0,0.0
139,3413,0.0,1.0,0.0,0.0,0.0,0.0
140,3436,0.006514657980456026,0.029315960912052116,0.6178067318132465,0.3463626492942454,0.0,0.0
141,3438,0.0,0.2727272727272727,0.7272727272727273,0.0,0.0,0.0
142,3440,0.0,0.16071428571428573,0.7678571428571429,0.07142857142857142,0.0,0.0
143,3442,0.0,0.012476370510396975,0.724007561436673,0.2604914933837429,0.0030245746691871457,0.0
144,3466,0.0,0.04239401496259352,0.8728179551122195,0.08478802992518704,0.0,0.0
145,3668,0.001226993865030675,0.7950920245398773,0.20368098159509201,0.0,0.0,0.0
146,3671,0.008276677505172924,0.17765297073603312,0.8090452261306532,0.005025125628140704,0.0,0.0
147,3679,0.0,0.15684496826835903,0.8422484134179511,0.0009066183136899365,0.0,0.0
148,3700,0.0,0.016138328530259365,0.9377521613832853,0.04610951008645533,0.0,0.0
