,WDPAID,soil_c_tot,soil_c_avg,tot_c_tot,tot_c_avg,tot_co2_tot,tot_co2_avg
936,900628,213321.8533639729,349.5343745438622,222689.76625908507,364.8832287257335,817271.441525333,1339.12158808933
937,198297,159893.70305574685,272.0709284627093,165047.56204053902,280.8402207001522,605724.552193468,1030.6835616438357
938,8033,3430803.2706313045,281.2434064616676,4276032.091388152,350.53151411616614,15693037.78225243,1286.4507582569083
939,8035,129445.84769410531,406.6480938416422,159024.63203109673,499.5676319648094,583620.4004324824,1833.4134897360705
940,555547945,47279.385343350215,243.73997100048334,77000.07931368654,396.959491300145,282590.2909301347,1456.8412276462059
941,555547939,369.97151837130485,358.1818181818182,444.7209419049144,430.54927201704544,1632.125861462042,1580.1157670454545
942,555547947,132.94653424851336,108.84615384615384,268.2957469626896,219.65968674879807,984.6453802853694,806.1509915865385
943,555547952,147.02636001441905,142.27272727272728,205.67219301199336,199.02241654829547,754.8169523535096,730.4121981534091
944,19450,11495.868280541323,331.03551912568304,12427.804753279106,357.87158469945354,45610.04334620148,1313.3886612021859
945,555547865,2048.3417662328075,462.70212765957444,2274.613266917467,513.8147440159574,8347.83068317713,1885.7002992021276
946,2572,2155410.3411285407,248.71352023319616,2673185.412773215,308.4635416666667,9810590.466540646,1132.0612997256517
947,555645412,10098.52033596182,247.65898617511522,12835.038766586258,314.77012528801845,47104.59220915973,1155.20650921659
948,555645413,73303.87910856289,251.1010621177985,93068.74961100536,318.80523817187,341562.3112239367,1170.0152880592211
949,903134,1346845.6229889987,301.24799314781984,1505187.5279644527,336.66353744422645,5524038.229244845,1235.555111559568
950,555592569,82.57923200813222,312.3333333333333,94.49143570393059,357.3880615234375,346.7835755421405,1311.6140950520833
951,555651487,440.9465787569238,208.75,531.6103702016804,251.67146809895834,1951.0100761133237,923.63427734375
952,28056,59.851852480097584,168.0,79.67964182781355,223.65521240234375,292.4242838093011,820.814697265625
953,555651465,365.6881735170406,197.85714285714286,441.0522479121931,238.63320777529762,1618.6617548200577,875.7838541666666
954,18262,96.68274323224306,274.5,100.99480059907624,286.74285888671875,370.65091137305103,1052.3463134765625
955,4227,0.0,0.0,0.0,0.0,0.0,0.0
